"Sentiment (1-negative, 2-neutral, 3-positive)"	Sentence
	"Jack Hartung No, I mean Jeff we have no plans to do that, that could change as the year unfolds."
	So we saw sales accelerate at the end of the quarter and then we saw those higher sales levels continue into October.
	"So I would say that the weakness is predominantly more on the international front, the volatility that we're seeing."
	"As Patrik likes to say, the plan is still the plan."
	"Just wanted to get some of your thoughts, whether any of the recent regulatory activity or Brexit have been changing client preferences over the past year?"
	Sharon Zackfia That’s helpful.
	Our luxury sedan portfolio updates continue with the launch of the all new CT5 midsize luxury sedan in China this quarter by early next year by the U.S. built CT5 and CT4 in North America.
	And we're obviously focused on continuing to drive that message throughout the whole quarter.
	So I think what you here from us though as a team that is committed to finding the right offsets to go forward and maintain and improve our competiveness.
	A huge economy is developing around Salesforce one that will create more than 3 million jobs and more than 860 billion GDP impact worldwide by 2022 and we'll continue to create opportunities for everyone to participate.
	"Below the operating income line, we expect considerably higher interest expense ranging between $415 million and $425 million in fiscal 2020 versus approximately $330 million in fiscal 2019."
	"As you all know, Charlie Scharf will join Wells Fargo next week as our new CEO and President."
	"So my first question is you made the comment that one of the areas of expenses that you expect to be helping you meet your full-year guidance is from that other professional fees line item, and I was just curious if you have any more color around why that might be dropping?"
	And our total member base is now in China sitting at 32.5 million which is up 66% over a year ago.
	"Attrition also remain healthy in Q2 as we have seen over the past several quarters, with dollar attrition continuing to decline modestly year-over-year remaining below 10%."
	It's really been the recent market environment in the short run has kind of impacted our performance notwithstanding with the positive things that have happened on year-to-date basis.
	"And so I think that's part of the reason when we kind of look at our year-to-date performance improvement, it's really the result of some of those factors that has kind of allowed our performance to improve the $64,000 question is always, is that going to continue?"
	So breakage will not be a driver of margin performance in fiscal 2020.
	Please go ahead.
	"And when you think about Q4, obviously, we're implying a higher growth rate in Q4."
	"It's a place where we know that there is millions of small businesses throughout the service, where we could help them more in reaching our customers on Twitter."
	"And you mentioned yourself, John, that the investments in risk compliance and data had exceeded your expectations."
	"And of course, one of them is as AI is well known now to require accelerated computing, our computing architecture is really ideal for it."
	"How does the go to market strategy evolved as you attacked a breadth and complexity of markets that the world has simply just not seen, and there's no recipe to follow?"
	The amount by which we're talking about it changing frankly isn't indicative of a giant pivot one way or the other; it's still a category that's too high.
	"Good afternoon, everyone and welcome to NVIDIA’s conference call for the second quarter of fiscal 2020."
	"What's really exciting about what we're going to do in Q4 is we're able to spend against more upper funnel brand marketing, which is helpful for us as we'll take learnings from that and enable a more precise spend, if you like, in 2020."
	"Jen-Hsun Huang With the exception of a couple of hyperscalers, C.J., I would – we’re seeing broad-based growth in data centers."
	We feel like our foundation is strong and we're looking forward to reigniting the Under Armour brand as we continue into the next chapter.
	"Powered by our RTX GPUs and optimized software, RTX Studio laptops deliver performance that’s up to 7x faster than that of the MacBook Pro."
	"Maybe if I'm wondering if you could just go into just the integration process and you realize obviously you've hit the $500 million of cost, but like you said there's definitely so more work to do."
	"We now expect revenue to be up approximately 2% compared to our previous expectation of 3% to 4%, driven by lower-than-planned excess inventory to service the off-price channel, ongoing traffic and conversion challenges in direct to consumer, and continued negative impacts from changes in foreign currency."
	Thank you.
	"Second, the chart clearly highlights that the deal has had an impact on our gross sales levels."
	John Inch Thank you.
	Gaming is doing great.
	And can you talk specifically about how delivery has performed in this quarter relative to prior quarters?
	We see efficiencies on how we designed vehicles and components from the DFMEA perspective.
	"At Gas Power, fixed costs were down 12% in the quarter, as we progress on our two-year $800 million fixed cost reduction target."
	Justin Post Great.
	That’s the first question.
	"So, from a year-over-year Delta perspective, that impacts as well."
	"For example, we received the industry's first FDA clearance to embed AI apps on a medical device for triage in our critical care suite this quarter."
	"We also have factoring programs coming down for the year too both through the continued runoff of our long-term accounts receivable, some decisions we've made to exit or discontinue higher-cost programs."
	"We’re pleased with our third quarter financial performance, which reflects further progress on our key strategic initiatives that are providing guests with a great experience and positioning the business to deliver above industry growth for many years to come."
	Can we just maybe bridge how you guys get there with respect to the implied 4Q guidance?
	This impact was partially offset by approximately $300 million and strike related favorable of timing items.
	"I would now like to turn the conference over to Rocky Gupta, Treasurer and Vice President of Investor Relations."
	"So again, I would point you to kind of our past experience, the same kind of set of ratios that you’ve seen in the past in terms of how complexes with revenues and assets."
	"Finally, turning to automotive, Q2 revenue was $209 million, up 30% from a year ago and up 26% sequentially."
	"They are using Trailhead, our free online digital learning platform to get the skills they need for the jobs in the digital economy."
	"Some of our comments today may contain forward-looking statements, which are subject to risks, uncertainties and assumptions."
	Brennan Hawken It does.
	Operator The next question will be from David Tarantino with Baird.
	"Except as required by law, we assume no obligation to update any such statements."
	We're operating a tremendous scale.
	"And then, you spoke to a planned step up in brand marketing, turn from defense to offense."
	"Ladies and gentlemen, thank you for your participation on today's conference."
	David Bergman Sure Alex.
	"We do think that Europe is got a lot of opportunity, particularly as we build out the solutions capabilities and we are meeting the needs around fixed income and general use of factors and other capabilities that have been part of our growth engine story for some time."
	"At Power, we're focused on daily management, improving transactional services and cost-out initiatives."
	John Shrewsberry Yes.
	So those we still we'll get all those done this year and I'm not going to give any more specifics on timing.
	But it's often cost prohibitive or too complex to do so.
	The hundreds of customers that Marc and I meet with every quarter are looking for a vision and they're looking for strategy that will help them propel their growth and to get closer to their customers.
	"The approval process is progressing as expected, and we continue to work toward closing the deal by the end of this calendar year."
	"Under Armour, Inc. (NYSE:UAA) Q3 2019 Results Earnings Conference Call November 4, 2019 8:30 AM ET EPS of $0.23 beats by $0.04 Revenue of $1.43B (-0.94% Y/Y) beats by $13.94M  Company Participants Lance Allega - Senior Vice President, Investor Relations and Corporate Development Kevin Plank - Chairman, President and Chief Executive Officer Patrik Frisk - President and Chief Operating Officer David Bergman - Chief Financial Officer Conference Call Participants Alexandra Walvis - Goldman Sachs Jonathan Komp - Robert W. Baird Erinn Murphy - Piper Jaffray Randy Konik - Jefferies Edward Yruma - KeyBanc Capital Markets Robert Drbul - Guggenheim Securities Jim Duffy - Stifel Nicolaus Paul Lejuez - Citigroup Jay Sole - UBS Omar Saad - Evercore ISI Jared Orr - Cowen and Company Operator Ladies and gentlemen, thank you for standing by and welcome to the Under Armour, Inc. Third Quarter Earnings Webcast and Conference Call."
	Our next question comes from Dan Fannon with Jefferies.
	Colette Kress Sure.
	"You called out Field Service Lightning strength in your prepared remarks, but I'd love to hear any additional color in terms of competition win rates and also how you see the products coming together with ClickSoftware coming into the fold?"
	"And given Mark Hawkins talked about it on the call, the fiscal 2023 target there -- are there any thoughts of maybe ever adding a margin target to the [Indiscernible] inorganic number?"
	"Overall in the third quarter, we delivered net revenue of $35.5 billion, EBITDA adjusted of $3 billion, EBIT adjusted margin of 8.4%, EBIT, EPS diluted adjusted of $1.72, automotive adjusted free cash flow of $3.8 billion, and a ROIC adjusted of $21.9 on a trailing four quarters basis."
	This is Patrik.
	Is that – is the previous timeline still intact or you accelerating the timeline too?
	"And this is where companies are using it not just to accelerate the business process internally, but they’re using AI to create new products and services."
	Those are the normalizing items from GM Financial perspective.
	"The additional part of autonomous vehicles and where the capability has been derived and is going to seal up more near-term opportunities has to do with things like delivery shuttles, self-driving shuttles and maybe cargo movers inside walled warehouses."
	Thanks for taking the question.
	"And especially in Q3, we're annualizing some off-price coming out of 2018."
	"John Shrewsberry Yes, so on the second half, I think you answered that, which is we should wait and allow him to have an input onto the composition of how we're spending money in the future."
	"We shipped 12 gas turbines including five H units and three aeroderivative units in the quarter versus 11 gas turbines in the prior year, which included five H units and two aeroderivative units."
	We have more work to do to deliver our desired level of sustainable and growing free cash flow.
	"Of course there are elections happening on Twitter all the time, all over the world and so we get the opportunity to think through to improve our policies to improve how we give a great experience to people, not just in the United States, but all over the world, all the time."
	We're seeing quite strong demand in almost all markets.
	They have a large amount of data.
	Revenue of $4.9 billion was up 5% reported and organically.
	Allen Parker Good morning.
	Dennis Geiger Great.
	"First of all, Keith I just want to call off for the year as it relates to Tableau we're anticipating $550 million to $600 million contribution for the year, and of course that's not of the DRE [ph] write-down, number one."
	Will they ever service partners with you along this transition.
	"And you can kind of expect that, going forward, as you think about 2020, that the quarterly fall will be a little bit more normalized because those distributor revenues are going to be more heavily weighted in Q2 and Q4."
	"So again, we're hopeful that we can see that product at least stabilize at a minimum as opposed to sort of currently where it's in that flow."
	And so we promoted what the plans were for early July beginning with our flavored iced teas and then the fall beverage lineup highlighted by the pumpkin platform.
	Operator Thank you.
	Kirk Materne Thanks very much and congratulations on the quarter.
	"Before I continue, I want to thank our dedicated suppliers."
	"Please go ahead, sir."
	Invesco makes no obligation to update any forward-looking statements.
	Please go ahead.
	So we can get to as many as possible.
	But it's still early in the multiyear transformation of GE.
	"And then, foodservice is going to be a big opportunity as we focus in on office, as we focus in on universities, and as we focus in on the five-star hotels."
	"Second, we expect that fiscal 2020 will be another good year for Starbucks, delivering 8% to 10% operating profit growth."
	"As we think about our opportunity in footwear, our expectations have not changed."
	"In the U.S., you've had that mid-teens growth in rewards users."
	And have a great day.
	"The new commercial door concepts, which we're excited about, the amplified marketing that we've talked about, improved e-com fulfillment levels, and then also just having an easier comp for Q4 for North America as well."
	"As Larry mentioned, we sold 144 million shares of Baker Hughes."
	"So to recap, our strong operating performances in the quarter were supported by a robust sale of trucks and crossovers in the United States."
	So we're going to be opportunistic as we go along.
	"But here’s what it is, I think we can give you some interesting facts on it, which is our digital business is roughly 50% bigger and the driver of that additional growth is our order ahead business, which as you know, it has got the best margin associated with our business going forward."
	"I’m not sure, how you’re doing your calculation."
	"Turning to our Business segments starting on page 19, community banking earnings declined $2.1 billion from the second quarter, primarily driven by higher operating losses reflecting higher litigation accruals."
	Operator Your next question comes from the line of John McDonald with Autonomous Research.
	And I would say that's the goal we set for the end of 2020.
	This call is being recorded.
	"On a regular basis, we have these plans working max overtime."
	"In parallel, we are rethinking the fundamentals of how Twitter works in order to better address the problems we’re seeing."
	But those other areas are the key areas that we're focused on.
	"Loren Starr I mean, I think what we've seen is, there's been a fair amount of outflow in the retail side, particularly in EMEA as that product has underperformed some loss."
	We continue to see very strong economic returns.
	"In addition, within Consumer Banking, we named leaders to new roles that will help us better serve our customers."
	"Operating profit was negative $144 million, up $532 million with segment margins of negative 4%."
	"And again, I think you can see it just more broadly from our ETF flows throughout EMEA that is incredible strong."
	"Starbucks Corporation (NASDAQ:SBUX) Q4 2019 Earnings Conference Call October 30, 2019 4:30 PM ET EPS of $0.7 Revenue of $6.75B (7.03% Y/Y) beats by $59.58M  Company Participants Durga Doraisamy - Vice President of Investor Relations Kevin Johnson - President & Chief Executive Officer Pat Grismer - Chief Financial Officer Roz Brewer - Chief Operating Officer & Group President Americas John Culver - Group President, International Channel Development & Global Coffee & Tea."
	And we introduced a brand-new line of computers that we call RTX Studio.
	And all of those items are fueling the work as Kevin mentioned around machine learning and our applications to fuel Deep Brew.
	"While margins are down 130 basis points organically year-to-date, we continue to expect to hit our full year margin expansion target."
	Our next question comes from Bob Drbul with Guggenheim.
	They get on a few anything in the performance.
	"But I'll tell you one thing that everyone is really excited about here is what happened in the United States which is that the business roundtable, one of the top two business groups in the U.S. published an incredible statement this week on the purpose of a corporation and talked about how the purpose of the corporation is to serve all stakeholders."
	"The innovation, I think the commitment to this brand is really consistent and one you'll continue to see come from us over and over."
	Thank you very much for taking the questions.
	"And again, you can't speak for Charlie, but as you think about how those investments played out relative to investments in, let's say, innovation, and as you think about where you are versus peers, is there a significant catch-up gap because you've spent a lot of those dollars on risk compliance and data, how should we think about investment spend from here?"
	Operator Thank you.
	"So we’re not all the way to where we have targeted, but we are making great progress and our throughput is better than it was last quarter and it’s definitely better than it was two quarters ago."
	"And just like the athletes we serve, this journey is about getting better – better for our teammate, consumers, customers, and our shareholders."
	We're growing where we need to grow.
	"Patrik, do you want to add some more color?"
	Thank you.
	"As we think about North America, we haven't changed our thoughts in any way compared to what we told you guys at the investor day in December last year."
	"Operator Our next question comes from the line of Justin Post of Merrill Lynch, please go ahead."
	"Good morning, everyone, and thank you for joining us."
	"As you think about what we delivered in Q3, obviously, we mentioned the bigger ones, with the lower off-price sales in the quarter and also the continuing supply chain initiatives of product cost and airfreight."
	"I think Greg, I mean, you can speak to that a little bit if you want."
	Lloyd Walmsley Thank you.
	"In particular, I want to thank Doug Edwards for his strong and thoughtful leadership as our Interim General Counsel during this period of transition."
	You're seeing the draw of this platform and you're seeing how empowering it is for – I think anyone in the world can become a Salesforce developer.
	"There's lots of non-bank competitors, there are more non-bank competitors than bank competitors."
	"At this time, all participants are in a listen-only mode."
	Thank you very much.
	"And as part of that question also just trying to understand better the tax rate impact, the new guidance is at the lower tax rate, is that correct?"
	Please proceed with your question.
	"During the quarter, a couple of changes in the way we're operating really began to take root."
	The sequential improvement that you’re guiding to is a pretty significant number.
	That will be some – will be entirely funded by further sort of integration or savings.
	"During this call, we will discuss non-GAAP financial measures."
	And what we're trying to do as a company is really balancing the two and we'll continue to do so and it's a gradual process.
	"We plan to leverage Deep Brew in ways that free up our partners, so that they can spend more time connecting with customers."
	"So I think as you look at all of those vehicles into a market with the uncertainty and the economic issues or the macro issues in China, and say they're all on track, you were correct to note that we did have our first of Chevrolet Onix, which is the global family."
	Capital expenditures are expected to be approximately $100 million to $120 million.
	"They are great margin products as long as you can grow them quickly and sort of great scale and those products, we embrace that phenomenon and want to grow that part of the book."
	This is industry-leading domestic growth for a retail business of Starbucks' scale and coupled with relatively low penetration in certain geographies gives us confidence that we'll continue to achieve our 3% to 4% ongoing net new store growth target in the U.S. Moving to margin.
	Operator Thank you.
	The first mortgage loan portfolio increased $4.2 billion from the prior quarter driven by $19.3 billion of originations held for investment and the purchase of $1 billion of loans as a result of our exercising service cleanup calls to terminate over 20 pre-2008 securitizations.
	"And with that, operator, I’d ask you to please open up the call for Q&A."
	"John Cummings Thanks so much, Brian."
	Are you planning to spend more digital or more through traditional marketing channels?
	Operator Your next question comes from the line of Sara Senatore with AllianceBernstein.
	"Marty Flanagan Good question, Ken."
	We will update you on our progress of all potential new menu items as they move through our stage-gate process.
	Today in our older machines you have to pull a Doubleshot and then another single shot for any beverage that has three shots of espresso.
	The reason for that is Pascal launched top to bottom on the same day.
	Our entire executive leadership team is available during the Q&A session.
	"Lastly, as a result of our decision to invest in our Detroit-Hamtramck plant, we will incur operating costs that were outside the scope of our original transformation plan."
	Thank you.
	"So in a traditional store that might gum up throughput, but if you're doing Chipotlanes where you've got a greater mix of order ahead, obviously that seems to tie in better in that type of a store."
	Operator Your next question comes from the line of Matthew DiFrisco with Guggenheim Securities.
	"I'm more optimistic today than I was a year ago that we can deliver it, and I'm confident that in 2020 and in 2021 we'll see meaningfully better performance for GE as a whole."
	We have made significant progress on our transformational cost savings initiative with $2.4 billion achieved since 2018.
	"Beverage attach, beverage mix and pricing contributed evenly to the 3% growth in the average ticket for the quarter."
	And you'll see all this at our – all this amazing innovation and all this amazing customer success at Dreamforce which this year will be November 19th in San Francisco.
	"That's out, and I don't think there is that much more on the loan side."
	"Jack Hartung Yes, so look, the main driver is, we were not willing to compromise on our Food With Integrity principles on the supply over this program."
	And are there any tweaks that you need to make to the five-year plan that you provided last year?
	"Obviously Nitro is relatively new across the system, but about how you feel about that beverage pipeline looking ahead?"
	"Should we start see this, the legal reserve estimates start to trend down?"
	Gregory Frankfurt Helpful perspective.
	"Sales were $1.4 billion in the quarter, an increase of 14.6% from last year."
	The increase from the second quarter was driven by continued retail deposit campaign pricing for new deposits so that we begun lower promotional rates in terms in response to market conditions.
	And we’ll share additional details about the Capital Markets Day in the near future.
	"This is at the center of who we are as a company, and will remain a guiding light as we go forward."
	We haven't really talked about churn.
	Operator Thank you.
	How do you think about those lesser enduring brands that are – that can come and go?
	"And then, I think it's been three years of decline in top line for that business."
	"Good morning, everybody."
	We've got now additional capacity with really great economics associated with that additional capacity.
	"Is that second make line, for example, fully staffed and ready to go?"
	That's a two-year sales comp of 10% for Q4 a sequential improvement over our very strong results in Q3 and our best performance in the U.S. in over two years.
	"So, feel very confident about our position in China and the work that the team is doing there."
	We don't intend to do any more forwards at this stage.
	"And so, whoever the competition is, be it above or be it below, we're prepared for it."
	"On the solutions front, it's been one of the largest investments I think we've made as an organization."
	"So, the 5.5 comprises of the lost profit and the working capital unwind."
	"I will begin by reminding you that certain statements and projections made in this presentation about our future business and financial results constitute forward-looking statements, including projections about comparable restaurant sales growth, new store openings, our effective tax rate and expected G&A expenses."
	They are both great executives.
	"And so, and yet, if you do spot checks all around the world, they’re sold out almost everywhere."
	And our next question comes from John Kernan with Cowen.
	"Compared to prior year, continuing operations net income was favorable by $104 million, driven primarily by lower impairments and lower excess interest cost, partially offset by lower gains."
	"It's a great company, a set of great products."
	Please go ahead.
	So it's not as different as – it is different.
	We do think there's opportunity for us to invest more and we do plan to invest more to continue to grow and make our team more effective.
	"So Brennan I think just to put some context in terms of the SMA business generally, we're currently ranked 36 in the industry."
	And so we are starting to see that in very – the areas that we've talked about on this call.
	How does that reverse into 4Q?
	"We have made DGX SuperPOD available commercially to customers, essentially providing them with the turnkey supercomputer that they can assemble in weeks rather than months."
	What do you view as sort of core competencies that need to start by global leadership versus providing regional leadership with the flexibility to make the changes or run the business in a way that they see as most appropriate on the ground in that market?
	Loren Starr Yes.
	"With our Customer 360 vision with amazing Einstein innovations, the millions of Trailblazers innovating on our platform, Salesforce is incredibly well-positioned to help companies transform their customers."
	"Andrew Charles Thanks, guys."
	"Now I'm very proud of the progress the team has made against our three focused initiatives to accelerate growth in our U.S. business, enhancing the in-store experience, delivering relevant beverage innovation, and driving digital relationships."
	"So, we are seeing a vital environment and we’re also seeing a lot of pricing pressures."
	Moving to cash.
	And so that phase of growth of AI is the phase that we’re about to enter into.
	Your line is open.
	But is this a sort of program that you think would be compelling?
	They continue and that's something that Scott and his team and Larry have really been deep diving and focused on how that execution path really shifts up.
	"Additionally, compared to 2018, new store openings are more heavily weighted toward the fourth quarter."
	"So, we believe that our continued growth with the industries is important for us for the long term to expand the use of AI and we are just really pleased with what we are seeing in that growth this quarter."
	And how do you think those will play out in fiscal 2020?
	We also in receivables had a $2.4 billion headwind year-to-date in working capital consumption for receivables.
	"As anticipated all year, more timely delivery should serve as an incremental benefit to Q4 as we begin to ship product for spring floorsets."
	"Were you on the timeline of all of this, and actually overarching why this even is coming up now?"
	Mark Murphy Yes.
	"Overall, our third quarter results reflect one more quarter's worth of progress in our multi-year transformation of GE."
	Consistent with past quarters delivery remained a key driver of our digital growth given enhanced capabilities on our app and website as well as our expanded availability from more than 97% of our restaurants.
	There are more opportunities for us to sort of generate more synergies.
	"But right now we think 3% about the right level, right now we think we’re getting a great return."
	Our market share growth reflects the benefit of the transformational changes we have made in the business including process improvements that have resulted in faster credit decision response times.
	"We already saw that the opportunity to stay more than $475 million by the time of the transaction closing, we only had a clear line of sight, regarding the $475 million in savings."
	And finally EPS.
	"And then just a follow-up on Asia, outside of money markets, I guess what products are selling in that region?"
	Thanks.
	So we think that is largely sort of status quo.
	There are a couple of smaller puts and takes too.
	"His demonstrative, transparent style of leadership, centered around a clear strategic vision, unparalleled discipline, and an outright passion for our brand positions us smartly to reach our goal of making Under Armour the best athletic brand in the world."
	"So, we'll utilize both of those depending on the plan and the situation at that plant."
	"I will be highlighting most of the balance sheet drivers on page five throughout the call, so we will turn to page six."
	And our next question will come from the line of Walter Pritchard with Citigroup.
	Mortgage originations increased $5 billion from the second quarter due to higher refi volumes from lower interest rates with refis increasing to 40% of originations in the third quarter.
	Some make better capital allocation and are able to produce different returns on investment.
	"With respect to timing, what that refers to specifically are the ongoing conversations and discussions that we're having in Europe with the various constituencies involved in Power."
	"In Japan, we expanded with Hitachi and Mitsui Sumitomo Insurance."
	And I don't think that's changed at all.
	"And then also related to free cash, with the working capital unwind in the fourth quarter, how much do we expect to recover into 2020?"
	"All in, our ecosystem of developers is now 1.4 million strong."
	"Joseph Spak Okay, and then I know that you said recovery a volume next year is dependent on the market and as you noted, you're running all out on the trucks."
	"I actually had 2 as well, one quick one for Colette and one for Jensen."
	Thanks.
	Thank you.
	"And then John, why don't you do the same on China?"
	We received $1.6 billion of cash net of taxes and fees related to the Wabtec exit and $3 billion from Baker Hughes.
	"So, overall, I think it's somewhat last but I think you've got to look at the whole vehicle, not just the propulsion system."
	"We’ve added the ability to pin lists directly to your home timeline, enabling a fast switch between your home timeline and list of accounts you want to keep on - keep up with, but don't directly follow."
	"And having those executives, having that talent in place who are passionate about customer success and driving solutions really makes us I think a very, very unique company and that's why you see the success."
	Can you just comment on where you expect that to fall for the full-year 2019?
	"While we're managing the portfolio renewal, we're still on track to deliver 20% segment margins this year."
	Thanks.
	"That has a negative impact to revenue, because it’s one less input you’ve got, when you are figuring out which ads to show people."
	This was the first time we had both year-over-year and linked quarter growth in average loans in nearly three years.
	Youssef Squali Okay.
	"Some of that is timing-related, some of that it's just where those businesses that hit again in the energy transition."
	"Thanks so much, guys."
	"At the end of Q4, active members reached 10 million, up 45% over the prior year."
	"So, when I joined Under Armour in the summer of 2017, the one thing that struck me was a companywide relentless pursuit of innovation and attention to detail and the outright grit that goes into making all athletes better."
	"On page 20, we provide our community banking metrics."
	Jay Sole Great.
	My question is on the Americas traffic strength you've seen; it seems like you've picked up some momentum here even as you look at relative to the last quarter you're cycling a tougher comparison.
	And just beyond the comp performance we talk a lot about the acceleration of the store footprint and we had record new stores opened in the quarter.
	"So when you think about the development acceleration for next year, is there anything in there for international growth and if not, when and how do you leverage that international opportunity?"
	"All-in-all, we're encouraged by our progress in this reset year."
	Just look at some of the daily milestones our customers have helped us achieve with our Customer 360 platform.
	But we're well prepared for it.
	This effort tested the upper limits of investment potential to determine where the future payback could be greatest in terms of incremental sales.
	"I think it's been a couple of years back, you gave a framework around cost to serve on Dreamforce Analyst Day."
	"Restaurant level margins of 20.8% expanded 210 basis points over last year and earnings per share adjusted for unusual items was $3.82, a 77% year-over-year growth."
	"Looking ahead, while we are taking steps to remediate the product issues we described, we expect them to continue to weigh on the overall performance of our ads business in the near term."
	"So, I think a combination of the work that we're doing in wholesale, the addition of a better work we're doing in our full price stores in North America, in combination with moving on to a new e-com platform and new e-com site next year that's going to greatly enhance our ability to service the customer and layering on top of that the additional marketing that we plan to do."
	"And finally, given the continuing improvements in efficiencies we are experiencing within our supply chain, we now expect end-of-year inventory to be down at a low double-digit rate."
	I would also just add that our partners absolutely love these machines and it gives them much more visibility to the customer due to the lower profile of the machine itself being able to interact with customers and engage with them.
	"Outside a few hyperscalers, we’re seeing broad-based growth in data centers."
	"A lot of things go into that, of course, and we don't manage to them."
	"With regard to the issues raised in the Fed consent order, the feedback that we are getting from the Fed on a constant basis is enabling us to continue to make progress in terms of responding to their expectations."
	"So when you add it all up, our total revenue growth of 6% to 8% for fiscal 2020 is expected to translate into non-GAAP operating income growth of 8% to 10% consistent with our ongoing growth model."
	Thanks.
	And then maybe just you could just update us on GTR.
	"And then when you announced the deal, you kind of announced an expectation of, I think 2 basis points of revenue yield deterioration from breakage."
	"Clicking into the positive factors, we realized approximately 90 basis points of channel mix benefits, primarily due to a lower mix of sale to the off-price channel; 80 basis points from continued supply chain initiatives related to favorable product costs and lower airfreight; and 40 basis points related to prior-year impact from restructuring efforts."
	We have reconciled those to the most directly comparable GAAP financial measures in our shareholder letter.
	"Lastly, regarding our pending acquisition of Mellanox, we have received regulatory approval in the U.S. and are engaged with regulators in Europe and China."
	"Loren Starr And I think the key thing for where we're at within solutions, which is kind of a broad area, we feel quite confident that the majority of the investments that we've made within solutions has already been made."
	This brings me to the evergreen topic of operational excellence.
	This is Patrik.
	"So with that, Steve?"
	"As far as Click Software and I'll let Mark talk about Tableau in a second, but as far as Click Software, we're very, very excited about the Click Software acquisition."
	"Marc Benioff Well, thanks Heather and I'll let Mark directly addressed the issues of guidance."
	Thanks.
	This fee was $94 million in the third quarter and was recognized in other non-interest income.
	A reconciliation to GAAP measures can be found via the link included on the Presentation page within the Investor Relations section of our website.
	Your line is open.
	Our Americas segment delivered 9% revenue growth in Q4 driven by comp sales growth of 6% and net new store growth of 3% over the past 12 months.
	Sequential growth also benefited from the production ramp of the two new models of Nintendo Switch gaming console.
	We announced several 6 games in the last couple of months.
	"Larry, I'm going to - I know other people will ask different questions but you spent a lot of time talking about renewables."
	"When you look at progress, we are seeing some mixing in progress between renewables and Power."
	We will.
	Operator And your next question comes from the line of Toshiya Hari with Goldman Sachs.
	There is no intention for us to invest through that number.
	"And listen, on their go-to-market side, we made a conscious decision over the last few years to really focus on three things."
	The second is continued strength in aviation services and the aftermarket there.
	"So, we know that we're not expecting perfection at the first time."
	Thank you so much.
	"And with respect to quarterly cash flows, we expect to make a tax payment of approximately $1 billion related to the Nestlé transaction in early Q2."
	Heath.
	Michael Cyprys Great.
	Any more color on what's driving that?
	Services is an area where I think we see opportunity as well.
	"At that point, we'll evaluate the business and look for the next round of cost savings that we can drive into the business and commit to from an improving shareholder value perspective."
	And… Marty Flanagan Yes.
	"John McDonald Okay, and guys, one more follow-up on the expenses."
	"The reason why x86s and CPUs are so popular is because they solve the great challenge of software developers: how to program a computer and how to program a computer and how to compile for that computer is a paramount concern to computer science, and it’s an area of tremendous research."
	Commercial loans were stable linked quarter as growth in C&I loans and leased financing was largely offset by declines in commercial real estate loans.
	"And you obviously it’s very topical in the UK, yes, I can’t speak for win, but what I will say, one of the most fundamental things that we did, strategically was purchasing Intelliflo."
	And then are there any puts and takes in that number?
	"This quarter, digital sales grew 88% year-over-year to $257 million and represented 18.3% of sales during the seasonally slower summer quarter for digital."
	"And finally, we expect our licensing business to be up in Q4 due to contractual royalty minimums, in addition to a settlement related to one of our North American partners."
	It's difficult to add over time and travel overtime.
	"And a lot of that comes on the back of the stable foundation, the hard work to make sure that we're really doing the work that needs to happen in terms of driving the business the right way."
	Continuing EPS was negative $0.15 and adjusted EPS was positive $0.15.
	You can’t do that with language and conversational AI.
	And I'm wondering you are talking about seeing really good underlying margin progression in the business ex-acquisition.
	That’s what gives us the comfort that the issues that we saw in July and August were more pronounced seasonality than we had anticipated.
	Dave?
	"While this slightly revises are year-end cost savings target to $4 billion to $4.5 billion, we will work to find every opportunity to maximize the cost savings potential."
	Notebook gaming is one of the fastest-growing segments of the gaming platform world.
	"Operator Ladies and gentlemen, this concludes today's conference call."
	And as previously discussed we plan to update these targets factoring in recent acquisitions during our annual Analyst Day at Dreamforce in November.
	"At this time, we are encouraged by the ticket that we're seeing with this customer and their attraction to things like Happy Hour and also to the time of day."
	That's a great way to say it.
	And you mentioned in the letter that the US had recovered in September.
	Do you expect to do any more of these over the next call or year or so?
	"Pat Grismer And then Sharon with respect to your question on margin, what I first want to clarify is that we are expecting modest margin improvement across each one of our segments in fiscal 2020."
	Moving on to our International segment which delivered revenue growth of 6% on a reported basis in Q4.
	Expect lists creation to get more powerful capabilities over time.
	Operator?
	So we think this is much bigger than just the product.
	"We’ve done a lot of work this year and complexity optimization, and we’re driving that in from a design for manufacture ability perspective into how we design vehicles."
	"Sara Senatore A question about margins if I could, which is just about the fact that it’s been a little bit volatile this year, but in the end, very good margin expansion and maybe for the full year, EBIT margin on a recurring basis, maybe as much as high 100 to 200 basis points something in that range."
	"Vivek Juneja Okay, thanks."
	Our momentum in financial services continues.
	Steve Tusa Just on the corporate and related to Aviation.
	Operator And your next question comes from the line of Harlan Sur with JPMorgan.
	Maybe just can you outline what types of things are being done over the next couple quarters?
	"The Union Pacific Railroad system, one of the world's largest transportation companies chose Salesforce as its unified CRM platform to deliver faster, more proactive service."
	"You heard me mentioned that we're at about 40% refis right now in our own production, and our pipeline is this big coming out of the third quarter as it was going in."
	Our next question comes from Mike Carrier with Bank of America.
	"We’re trying to get as many end-caps with Chipotlanes as possible, that’s why we’ve been able to pretty quickly pivot so that we can have more than half of our portfolio."
	"With great intentionality, we've invested in our partners, in technology and in our stores to drive long-term growth."
